Size,Stock,images,old_price,price,product_description_text,product_table,size_table,size_table_labels,sub_catogery,title
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727701_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727701_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727701_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727701_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727701_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","2,999","2,099","
					       Women's brown clutch, made with pu leather, rectangular, clasp closure, has a handle. 					       
					       ,
					",,,,Bags,Brown Clutch 
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727901_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727901_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727901_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727901_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727901_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,499","2,449","
					       Lime yellow women's tote bag, pu leather, printed decorative ribbon, thick straps. 					       
					       ,
					",,,,Bags,Yellow Tote Bag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231728001_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231728001_g0.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231728001_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231728001_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231728001_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231728001_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,299","2,309","
					       Women's brown shoulder bag made with pu leather, short handle, buckle like closure. 					       
					       ,
					",,,,Bags,Brown Shoulder Bag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231779901_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231779901_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231779901_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231779901_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231779901_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,999","2,799","
					       Women's Blue hand bag, pu leather, short handle, detachable straps, extra compartment on the front. 					       
					       ,
					",,,,Bags,Blue Hand Bag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340001_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340001_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340001_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340001_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340001_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340001_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340001_g6.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","2,799","1,959","
					       Statement handbag with detachable straps, round ring buckle detail, main compartment with main body flap, zip on the inside, zip at the back.					       
					       ,
					",,,,Bags,Mauve Pink Buckle Handbag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g5.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g6.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,299","2,309","
					       Two- toned colourblocked funcitonal handbag with detachable hand held strap, gold round ring detail, main compartment with zip, zip at the back.					       
					       ,
					",,,,Bags,Tan Colourblocked Handbag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340101_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340101_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340101_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340101_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340101_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340101_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,799","2,659","
					       Stylish utility backpack with one main compartment with zip, front compartment has a  flap, adjustable shoulder straps, zipper at the back. 					       
					       ,
					",,,,Bags,Mustard Backpack 
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340401_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340401_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340401_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340401_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340401_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340401_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,499","2,449","
					       Stylish utility backpack with one main compartment with zip, front compartment has a  flap, adjustable shoulder straps, zipper at the back. 					       
					       ,
					",,,,Bags,Light Green Backpack 
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340201_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340201_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340201_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340201_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340201_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340201_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222340201_g6.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","2,799","1,959","
					       White sling bag with detachable contrast hand-held straps, main compartment comes with a flap, snap button closure. 					       
					       ,
					",,,,Bags,White Sling Bag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/224682502_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/224682502_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/224682502_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/224682502_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/224682502_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,799","1,259","
					       Women's lime yellow wallet made with PU leather, has a zip closure, extra compartments. 					       
					       ,
					",,,,Wallets,Yellow PU Wallet
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/230559901_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/230559901_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/230559901_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/230559901_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/230559901_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,799","1,900","
					       Brown Hangbag					       
					       ,
					",,,,Bags,Brown Hangbag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/205641001_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/205641001_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/205641001_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/205641001_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-21-2021/205641001_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,999","1,399","
					       Women's Pu wallet, tri-fold, press button closure. 					       
					       ,
					",,,,Wallets,Blue PU Wallet
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211755202_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211755202_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211755202_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211755202_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211755202_g4.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,799",900,"
					       Green Wallet					       
					       ,
					",,,,Wallets,Green Wallet
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/230559701_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/230559701_g0.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/230559701_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/230559701_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/230559701_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/230559701_g6.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","2,999","1,500","
					       Beige Striped Straw Bag					       
					       ,
					",,,,Bags,Beige Striped Straw Bag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/march-07-2020/211325301_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-07-2020/211325301_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-07-2020/211325301_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-07-2020/211325301_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-07-2020/211325301_g4.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,299","1,650","
					       Pink Circular Handle Handbag					       
					       ,
					",,,,Bags,Pink Circular Handle Handbag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",1 left,"https://images.bestsellerclothing.in/data/vero-moda/march-07-2020/211105801_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-07-2020/211105801_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-07-2020/211105801_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-07-2020/211105801_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-07-2020/211105801_g4.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto","2,999","1,500","
					       Beige Colourblocked Straw Bag					       
					       ,
					",,,,Bags,Beige Colourblocked Straw Bag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211480901_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211480901_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211480901_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211480901_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211480901_g4.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,799",900,"
					       Blue Studded Sling Bag					       
					       ,
					",,,,Bags,Blue Studded Sling Bag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211755101_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211755101_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211755101_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211755101_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/04-24-2020/211755101_g4.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,799",900,"
					       Tan Wallet					       
					       ,
					",,,,Wallets,Tan Wallet
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",4 left,"https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/213026801_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/213026801_g0.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/213026801_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/213026801_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/213026801_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,499","1,750","
					       Black Backpack					       
					       ,
					",,,,Bags,Black Backpack
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",2 left,"https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/233554001_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/233554001_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/233554001_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/233554001_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","2,799","1,400","
					       Black Asymmetric Flap Sling Bag 					       
					       ,
					",,,,Bags,Black Asymmetric Flap Sling Bag 
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/03-fab-2021/212973101_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/03-fab-2021/212973101_g0.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/03-fab-2021/212973101_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/03-fab-2021/212973101_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/03-fab-2021/212973101_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,299","1,650","
					       Green Backpack					       
					       ,
					",,,,Bags,Green Backpack
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/nov-15-2021/205640901_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/nov-15-2021/205640901_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/nov-15-2021/205640901_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/nov-15-2021/205640901_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/nov-15-2021/205640901_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,999","1,399","
					       Mustard solid two fold wallet with a button closure,1 main compartment, 6 card holders, 1 ID card holder, 2 slip pockets, has a zip coin pocket. 					       
					       ,
					",,,,Wallets,Mustard Two-Fold Wallet
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",1 left,"https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/233553901_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/233553901_g0.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/233553901_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/233553901_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/april-01-2021/233553901_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","2,999","1,500","
					       Black Woven Texture Sling Bag 					       
					       ,
					",,,,Bags,Black Woven Texture Sling Bag 
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/09-feb-2021/212973201_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/09-feb-2021/212973201_g0.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/09-feb-2021/212973201_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/09-feb-2021/212973201_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/09-feb-2021/212973201_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/09-feb-2021/212973201_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,499","1,750","
					       Tan Backpack					       
					       ,
					",,,,Bags,Tan Backpack
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",1 left,"https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/234094801_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/234094801_g0.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/234094801_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/234094801_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/234094801_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/march-23-2021/234094801_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,499","1,750","
					       Black Textured Hobo Bag					       
					       ,
					",,,,Bags,Black Textured Hobo Bag
