Size,Stock,images,old_price,price,product_description_text,product_table,size_table,size_table_labels,sub_catogery,title
"75,
                    ,
                                        ,
                                        
                    75                                      ",5 left,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016301_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016301_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016301_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016301_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,699","1,189","
					        ,

 ,
    ,
   ,
  
					,
					       Black solid belt with stud embellishments, broad at the closure, secured with a tang closure. 					       
					       ,
					",,"xS
        ,70,s,75,L
        ,80,XL
        ,85,xS
        ,27.5,s,29.5,L
        ,31,XL
        ,33","INTERNATIONAL SIZE
        ,BELT SIZE,INTERNATIONAL SIZE,BELT SIZE",Belts,Black Gold Studded Belt 
"75,
                    ,
                                        ,
                                        
                    75                                      ",1 left,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/110973701_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/110973701_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/110973701_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/110973701_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/110973701_g4.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,499","1,049","
					        ,

 ,
    ,
   ,
  
					,
					       Black solid waist belt with embellished belt with chain detailing, secured with a push pin closure. 					       
					       ,
					",,"xS
        ,70,s,75,L
        ,80,XL
        ,85,xS
        ,27.5,s,29.5,L
        ,31,XL
        ,33","INTERNATIONAL SIZE
        ,BELT SIZE,INTERNATIONAL SIZE,BELT SIZE",Belts,Black & Gold Waist Belt
"85,
                    ,
                                        ,
                                        
                    85                                      ,95,
                    ,
                                        ,
                                        
                    95                                      ",2 left,"https://images.bestsellerclothing.in/data/vm/16-09-2020/211627601_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/16-09-2020/211627601_g0.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/16-09-2020/211627601_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto",799,400,"
					        Yellow Belt					       
					       ,
					",,,,Belts, Yellow Belt
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/16-dec-2021/253029101_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/16-dec-2021/253029101_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/16-dec-2021/253029101_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/16-dec-2021/253029101_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/16-dec-2021/253029101_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,799","1,259","
					       Green PU wallet for women. Has a zipper opening. 					       
					       ,
					",,,,Wallets,Green PU Wallet
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vm/07Oct2021/205641101_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/205641101_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/205641101_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/205641101_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/205641101_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,299","2,309","
					       Women's green faux leather backpack. Is medium sized with a large front flap. 					       
					       ,
					",,,,Bags,Green Faux Leather Backpack
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/24-nov-2021/205640701_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-nov-2021/205640701_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-nov-2021/205640701_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-nov-2021/205640701_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-nov-2021/205640701_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","3,499","2,449","
					       Women's blue animal print textured handbag. 					       
					       ,
					",,,,Bags,Blue Textured Handbag
"75,
                    ,
                                        ,
                                        
                    75                                      ,80,
                    ,
                                        ,
                                        
                    80                                      ",5 left,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016801_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016801_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016801_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016801_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto","1,299",909,"
					        ,

 ,
    ,
   ,
  
					,
					       Women's black snake skin textured belt, secured with a tang closure. 					       
					       ,
					",,"25-27,XS,80,28-29,S,85,30-32,L,90,33-34,XL,95,25-27,XS,31,28-29,S,33,30-32,L,35,33-34,95,37","JEANS/PANT SIZE,BELT SIZE,JEANS/PANT SIZE,INTERNATIONAL SIZE,BELT SIZE",Belts,Black Snake Skin Textured Belt
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727501_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727501_g0.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727501_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727501_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727501_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","2,799","1,959","
					       Women's brown pu leather crossbody bag with a decoratice buckle detail, large flap, thin strap. 					       
					       ,
					",,,,Bags,Brown Crossbody Bag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727601_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727601_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727601_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727601_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727601_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727601_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727601_g6.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","2,799","1,959","
					       Women's pink pu leather sling bag, has a buckle closure, front flap, thin detachable straps. 					       
					       ,
					",,,,Bags,Pink Sling Bag
"ONE,
                    ,
                                        ,
                                        
                    ONE                                      ",,"https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727801_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727801_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727801_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727801_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-18-2021/231727801_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto","2,499","1,749","
					       Maroon textured pu leather women's shoulder bag, has a metal chain detail, thick shoulder strap. 					       
					       ,
					",,,,Bags,Maroon Animal Print Texture Shoulder Bag
